SampleID	female	male
L2S1.273670	0.00537634408602151	0.994623655913978
L2S10.274052	0.0255102040816327	0.974489795918367
L2S11.274220	0	1
L2S12.274348	0.0303030303030303	0.96969696969697
L2S13.273885	0.00561797752808989	0.99438202247191
L2S14.274730	0	1
L2S15.274449	0.0105263157894737	0.989473684210526
L2S16.273836	0.0265957446808511	0.973404255319149
L2S17.274246	0.0159574468085106	0.984042553191489
L2S18.274071	0.0103626943005181	0.989637305699482
L2S19.275049	0	1
L2S2.274088	0.0239520958083832	0.976047904191617
L2S20.274098	0	1
L2S21.274770	0	1
L2S22.274974	0.0274725274725275	0.972527472527473
L2S23.275132	0.00546448087431694	0.994535519125683
L2S24.274902	0	1
L2S25.273926	0.00531914893617021	0.99468085106383
L2S26.274870	0.0108108108108108	0.989189189189189
L2S28.274711	0.00558659217877095	0.994413407821229
L2S29.273464	0	1
L2S3.273423	0	1
L2S30.274665	0.0326086956521739	0.967391304347826
L2S31.273258	0	1
L2S32.273780	0	1
L2S33.275034	0.00558659217877095	0.994413407821229
L2S34.274160	0	1
L2S35.274125	0	1
L2S36.274819	0	1
L2S38.274986	0	1
L2S39.273828	0.00540540540540541	0.994594594594595
L2S4.274408	0.0227272727272727	0.977272727272727
L2S40.274521	0.0053475935828877	0.994652406417112
L2S41.274536	0.00578034682080925	0.994219653179191
L2S42.274282	0.0114942528735632	0.988505747126437
L2S43.273410	0.0268817204301075	0.973118279569892
L2S44.274128	0	1
L2S45.274136	0	1
L2S46.274196	0	1
L2S47.273331	0	1
L2S48.274848	0.0246913580246914	0.975308641975309
L2S49.273493	0.00613496932515337	0.993865030674847
L2S5.274932	0.00966183574879227	0.990338164251208
L2S50.274129	0.00529100529100529	0.994708994708995
L2S51.274458	0.00564971751412429	0.994350282485876
L2S52.274510	0.00537634408602151	0.994623655913978
L2S53.274744	0.0111111111111111	0.988888888888889
L2S54.273803	0	1
L2S55.273237	0	1
L2S56.274152	0.00523560209424084	0.994764397905759
L2S57.273720	0.32183908045977	0.67816091954023
L2S58.275074	0.0212765957446809	0.978723404255319
L2S59.273382	0	1
L2S6.273637	0.0108108108108108	0.989189189189189
L2S60.273730	0	1
L2S61.274821	0	1
L2S62.274700	0	1
L2S63.274401	0	1
L2S64.273911	0	1
L2S65.273492	0.0144230769230769	0.985576923076923
L2S66.273772	0	1
L2S67.274224	0	1
L2S68.274198	0.010752688172043	0.989247311827957
L2S69.274304	0	1
L2S7.274964	0.0111731843575419	0.988826815642458
L2S70.275150	0	1
L2S71.274066	0.0869565217391304	0.91304347826087
L2S72.274803	0.0245398773006135	0.975460122699387
L2S73.273400	0.0193236714975845	0.980676328502415
L2S74.275009	0	1
L2S75.274835	0.00588235294117647	0.994117647058824
L2S76.273540	0.00531914893617021	0.99468085106383
L2S77.275174	0.00510204081632653	0.994897959183674
L2S78.274519	0	1
L2S8.274367	0.00595238095238095	0.994047619047619
L2S81.274524	0.00531914893617021	0.99468085106383
L2S82.273335	0	1
L2S83.274705	0.0157894736842105	0.984210526315789
L2S84.273312	0.00709219858156028	0.99290780141844
L2S86.274853	0.00537634408602151	0.994623655913978
L2S87.273805	0.0108695652173913	0.989130434782609
L2S88.273522	0.016304347826087	0.983695652173913
L2S89.274561	0.0238095238095238	0.976190476190476
L2S9.274120	0.00546448087431694	0.994535519125683
L2S90.274515	0	1
L2S91.275128	0	1
L2S92.273461	0.0154639175257732	0.984536082474227
L2S93.273568	0.0265957446808511	0.973404255319149
L2S94.274742	0.00520833333333333	0.994791666666667
L2S95.273958	0.00512820512820513	0.994871794871795
L1S1.275106	0.661290322580645	0.338709677419355
L1S10.274330	0.963730569948187	0.0362694300518135
L1S100.274845	1	0
L1S101.274587	0.98469387755102	0.0153061224489796
L1S102.273491	0.976608187134503	0.0233918128654971
L1S103.273727	0.978609625668449	0.0213903743315508
L1S104.274727	0.989130434782609	0.0108695652173913
L1S105.273315	0.995192307692308	0.00480769230769231
L1S106.275162	0.988888888888889	0.0111111111111111
L1S107.274626	0.973544973544973	0.0264550264550265
L1S108.274826	0.973404255319149	0.0265957446808511
L1S109.273718	0.978947368421053	0.0210526315789474
L1S11.274949	0.975460122699387	0.0245398773006135
L1S110.274759	0.967914438502674	0.0320855614973262
L1S111.274126	0.989637305699482	0.0103626943005181
L1S112.274528	0.99	0.01
L1S113.274445	0.96195652173913	0.0380434782608696
L1S114.274060	0.974522292993631	0.0254777070063694
L1S115.274581	0.988304093567251	0.0116959064327485
L1S116.274735	0.98019801980198	0.0198019801980198
L1S117.275153	0.988950276243094	0.0110497237569061
L1S118.274243	0.971910112359551	0.0280898876404494
L1S119.273846	0.940119760479042	0.0598802395209581
L1S12.273922	0.98469387755102	0.0153061224489796
L1S120.274954	0.988505747126437	0.0114942528735632
L1S121.275017	0.96551724137931	0.0344827586206897
L1S122.273565	0.985148514851485	0.0148514851485149
L1S123.274118	0.979487179487179	0.0205128205128205
L1S124.274955	0.962962962962963	0.037037037037037
L1S125.273208	0.956756756756757	0.0432432432432432
L1S126.274219	0.964705882352941	0.0352941176470588
L1S127.274374	0.993710691823899	0.00628930817610063
L1S128.274455	0.994413407821229	0.00558659217877095
L1S129.274829	0.978947368421053	0.0210526315789474
L1S13.273294	0.916666666666667	0.0833333333333333
L1S130.275078	0.994594594594595	0.00540540540540541
L1S131.274927	0.968253968253968	0.0317460317460317
L1S132.274000	0.98876404494382	0.0112359550561798
L1S133.274859	0.327956989247312	0.672043010752688
L1S134.274174	0.242603550295858	0.757396449704142
L1S135.274571	0.196629213483146	0.803370786516854
L1S136.273951	0.223463687150838	0.776536312849162
L1S137.274284	0.125	0.875
L1S138.273308	0.113636363636364	0.886363636363636
L1S139.274985	0.0310880829015544	0.968911917098446
L1S14.273420	0.994652406417112	0.0053475935828877
L1S140.274872	0.0548780487804878	0.945121951219512
L1S141.275086	0.0757575757575758	0.924242424242424
L1S142.273722	0.04	0.96
L1S143.273938	0.032967032967033	0.967032967032967
L1S144.273302	0.0416666666666667	0.958333333333333
L1S145.275016	0.032258064516129	0.967741935483871
L1S146.273215	0.0169491525423729	0.983050847457627
L1S147.273683	0.023121387283237	0.976878612716763
L1S148.273970	0.04	0.96
L1S149.274022	0.0277777777777778	0.972222222222222
L1S15.273775	0.96078431372549	0.0392156862745098
L1S150.274261	0.0170454545454545	0.982954545454545
L1S151.274520	0.0714285714285714	0.928571428571429
L1S152.274042	0.0271739130434783	0.972826086956522
L1S153.275061	0.0265957446808511	0.973404255319149
L1S154.274659	0.0212765957446809	0.978723404255319
L1S155.274457	0.0380434782608696	0.96195652173913
L1S156.274463	0.0274725274725275	0.972527472527473
L1S157.273481	0.0257731958762887	0.974226804123711
L1S158.274569	0.0236686390532544	0.976331360946746
L1S159.273766	0.0140845070422535	0.985915492957746
L1S16.274184	0.970414201183432	0.029585798816568
L1S160.274321	0.0167597765363128	0.983240223463687
L1S161.273299	0.0112359550561798	0.98876404494382
L1S162.273721	0.0211640211640212	0.978835978835979
L1S163.274658	0.0256410256410256	0.974358974358974
L1S164.274254	0.0318471337579618	0.968152866242038
L1S165.274417	0.06282722513089	0.93717277486911
L1S166.274223	0.0319148936170213	0.968085106382979
L1S167.275065	0.0348837209302326	0.965116279069767
L1S168.274809	0.0292397660818713	0.970760233918129
L1S169.274242	0.0164835164835165	0.983516483516483
L1S17.274647	0.972375690607735	0.0276243093922652
L1S170.274450	0.0210526315789474	0.978947368421053
L1S171.273375	0.0257731958762887	0.974226804123711
L1S172.273802	0.0434782608695652	0.956521739130435
L1S173.274765	0.0161290322580645	0.983870967741935
L1S174.274640	0.0247524752475248	0.975247524752475
L1S175.274934	0.0352941176470588	0.964705882352941
L1S176.274621	0.266304347826087	0.733695652173913
L1S177.273454	0.0441176470588235	0.955882352941177
L1S178.275068	0.0429447852760736	0.957055214723926
L1S179.273902	0.028735632183908	0.971264367816092
L1S18.273422	0.987577639751553	0.0124223602484472
L1S180.274231	0.114285714285714	0.885714285714286
L1S181.274221	0.0564102564102564	0.943589743589744
L1S182.274506	0.0360824742268041	0.963917525773196
L1S183.274343	0.0382513661202186	0.961748633879781
L1S184.273919	0.027027027027027	0.972972972972973
L1S185.273473	0.0229885057471264	0.977011494252874
L1S186.274486	0.00512820512820513	0.994871794871795
L1S187.274092	0	1
L1S188.273373	0.00617283950617284	0.993827160493827
L1S189.273436	0.00555555555555556	0.994444444444444
L1S19.274514	0.984455958549223	0.0155440414507772
L1S190.273282	0.0121212121212121	0.987878787878788
L1S191.273263	0	1
L1S193.275122	0.0202020202020202	0.97979797979798
L1S194.274523	0	1
L1S195.273591	0.0212765957446809	0.978723404255319
L1S196.273245	0	1
L1S197.274086	0.00555555555555556	0.994444444444444
L1S198.273806	0.00543478260869565	0.994565217391304
L1S199.274339	0.00520833333333333	0.994791666666667
L1S2.274869	0.829015544041451	0.170984455958549
L1S20.274555	0.946524064171123	0.053475935828877
L1S200.273384	0.00568181818181818	0.994318181818182
L1S201.273866	0	1
L1S202.273285	0.0105263157894737	0.989473684210526
L1S203.273731	0	1
L1S204.274607	0.0100502512562814	0.989949748743719
L1S205.274565	0.00591715976331361	0.994082840236686
L1S206.273247	0	1
L1S207.274287	0.00574712643678161	0.994252873563218
L1S208.274741	0.0053475935828877	0.994652406417112
L1S209.273658	0.0158730158730159	0.984126984126984
L1S21.274476	0.966480446927374	0.0335195530726257
L1S210.274468	0	1
L1S212.274379	0.0153061224489796	0.98469387755102
L1S213.274333	0	1
L1S214.274105	0	1
L1S215.273708	0.00555555555555556	0.994444444444444
L1S216.273394	0	1
L1S217.273917	0.0837696335078534	0.916230366492147
L1S218.273993	0	1
L1S219.274012	0.0110497237569061	0.988950276243094
L1S22.273337	0.956043956043956	0.043956043956044
L1S220.273571	0	1
L1S221.274942	0	1
L1S222.274663	0	1
L1S223.274322	0	1
L1S224.273764	0.0053475935828877	0.994652406417112
L1S225.273936	0.0111111111111111	0.988888888888889
L1S226.273455	0	1
L1S228.273894	0.0104166666666667	0.989583333333333
L1S229.273973	0.0170454545454545	0.982954545454545
L1S23.273699	0.913294797687861	0.0867052023121387
L1S231.274180	0.0103092783505155	0.989690721649485
L1S232.273216	0.00568181818181818	0.994318181818182
L1S233.274924	0	1
L1S234.275117	0	1
L1S235.273608	0	1
L1S236.274787	0	1
L1S237.274775	0	1
L1S238.274649	0	1
L1S239.274267	0.00520833333333333	0.994791666666667
L1S24.274100	0.9	0.1
L1S240.274975	0.00529100529100529	0.994708994708995
L1S241.273649	0	1
L1S242.273860	0	1
L1S243.274281	0	1
L1S244.274295	0	1
L1S245.274903	0	1
L1S246.273352	0.00598802395209581	0.994011976047904
L1S247.273479	0.0116279069767442	0.988372093023256
L1S248.273910	0.010989010989011	0.989010989010989
L1S249.273545	0	1
L1S25.273273	0.958549222797927	0.0414507772020725
L1S250.273986	0	1
L1S251.274516	0.0207253886010363	0.979274611398964
L1S252.274163	0	1
L1S253.274249	0	1
L1S254.273387	0	1
L1S255.274966	0	1
L1S256.274285	0.00523560209424084	0.994764397905759
L1S257.273377	0	1
L1S258.273240	0	1
L1S259.273813	0.0171428571428571	0.982857142857143
L1S26.274537	0.989690721649485	0.0103092783505155
L1S260.273552	0	1
L1S261.274799	0.00549450549450549	0.994505494505495
L1S262.273236	0.00523560209424084	0.994764397905759
L1S263.274428	0	1
L1S264.273320	0.0260416666666667	0.973958333333333
L1S266.275167	0	1
L1S267.273765	0.0050761421319797	0.99492385786802
L1S268.273415	0.00531914893617021	0.99468085106383
L1S269.274498	0.00520833333333333	0.994791666666667
L1S27.273969	0.964467005076142	0.0355329949238579
L1S270.273598	0	1
L1S271.274887	0.0111111111111111	0.988888888888889
L1S272.274746	0.0411764705882353	0.958823529411765
L1S273.274399	0	1
L1S274.273705	0.454545454545455	0.545454545454545
L1S275.275069	0.00561797752808989	0.99438202247191
L1S276.273690	0.0163934426229508	0.983606557377049
L1S277.273248	0.00515463917525773	0.994845360824742
L1S278.274121	0.0116959064327485	0.988304093567251
L1S279.274262	0.0116959064327485	0.988304093567251
L1S28.273497	0.948453608247423	0.0515463917525773
L1S280.274513	0.0324074074074074	0.967592592592593
L1S281.274883	0	1
L1S282.273542	0.0168539325842697	0.98314606741573
L1S283.273819	0.0216216216216216	0.978378378378378
L1S284.274692	0	1
L1S285.274434	0.00574712643678161	0.994252873563218
L1S286.274014	0.0101522842639594	0.989847715736041
L1S287.274018	0.00540540540540541	0.994594594594595
L1S289.274926	0.00540540540540541	0.994594594594595
L1S29.274586	0.994594594594595	0.00540540540540541
L1S290.274811	0.00497512437810945	0.995024875621891
L1S291.274814	0	1
L1S292.273647	0.00549450549450549	0.994505494505495
L1S293.275143	0.00568181818181818	0.994318181818182
L1S294.273585	0	1
L1S295.274567	0	1
L1S296.273278	0	1
L1S297.274827	0.00537634408602151	0.994623655913978
L1S298.274209	0	1
L1S299.274893	0	1
L1S3.273687	0.912087912087912	0.0879120879120879
L1S30.273279	0.983870967741935	0.0161290322580645
L1S300.274656	0.00980392156862745	0.990196078431373
L1S301.274634	0	1
L1S302.273303	0.00598802395209581	0.994011976047904
L1S303.273579	0.00480769230769231	0.995192307692308
L1S304.273937	0.0113636363636364	0.988636363636364
L1S305.273508	0.0153061224489796	0.98469387755102
L1S306.274278	0.0236686390532544	0.976331360946746
L1S307.274201	0.0395480225988701	0.96045197740113
L1S308.274545	0	1
L1S309.274009	0.027027027027027	0.972972972972973
L1S31.274299	0.984848484848485	0.0151515151515152
L1S310.274766	0.0114285714285714	0.988571428571429
L1S311.273978	0.0102564102564103	0.98974358974359
L1S312.273453	0.0106951871657754	0.989304812834225
L1S313.273714	0.00531914893617021	0.99468085106383
L1S314.273495	0.0050761421319797	0.99492385786802
L1S315.273440	0	1
L1S316.275138	0	1
L1S317.273874	0	1
L1S318.274878	0	1
L1S319.274696	0.00537634408602151	0.994623655913978
L1S32.273346	0.98469387755102	0.0153061224489796
L1S320.274114	0.00543478260869565	0.994565217391304
L1S321.273286	0.0111731843575419	0.988826815642458
L1S322.273615	0	1
